"source","target"
"Downy Woodpecker","Red-breasted Nuthatch"
"Northern Flicker","Dark-eyed Junco"
"Hairy Woodpecker","Dark-eyed Junco"
"House Finch","House Sparrow"
"Blue Jay","Northern Cardinal"
"Hairy Woodpecker","Downy Woodpecker"
"House Finch","American Goldfinch"
"House Finch","American Goldfinch"
"Northern Mockingbird","Northern Cardinal"
"House Sparrow","Carolina Wren"
"Northern Mockingbird","House Finch"
"Blue Jay","White-breasted Nuthatch"
"Hairy Woodpecker","Black-capped Chickadee"
"White-breasted Nuthatch","Tufted Titmouse"
"Tufted Titmouse","Black-capped Chickadee"
"Hairy Woodpecker","Tufted Titmouse"
"Red-bellied Woodpecker","Downy Woodpecker"
"Tufted Titmouse","Black-capped Chickadee"
"Dark-eyed Junco","American Goldfinch"
"Northern Cardinal","House Sparrow"
"Spotted Towhee","Dark-eyed Junco"
"Song Sparrow","Dark-eyed Junco"
"Hairy Woodpecker","Chestnut-backed Chickadee"
"Red-breasted Nuthatch","Bushtit"
"White-breasted Nuthatch","House Sparrow"
"White-breasted Nuthatch","House Finch"
"Tufted Titmouse","Carolina Chickadee"
"American Crow","Downy Woodpecker"
"Dark-eyed Junco","Bushtit"
"Dark-eyed Junco","Bushtit"
"Dark-eyed Junco","Bushtit"
"Dark-eyed Junco","Bushtit"
"Dark-eyed Junco","Bushtit"
"Dark-eyed Junco","Bushtit"
"Dark-eyed Junco","Bushtit"
"Blue Jay","American Goldfinch"
"White-breasted Nuthatch","American Goldfinch"
"European Starling","American Goldfinch"
"Downy Woodpecker","House Sparrow"
"Hairy Woodpecker","Downy Woodpecker"
"Red-breasted Nuthatch","Black-capped Chickadee"
"Blue Jay","American Goldfinch"
"Downy Woodpecker","American Goldfinch"
"Hairy Woodpecker","American Tree Sparrow"
"Blue Jay","Black-capped Chickadee"
"Hairy Woodpecker","Downy Woodpecker"
"Blue Jay","Evening Grosbeak"
"Red-breasted Nuthatch","Black-capped Chickadee"
"House Sparrow","Dark-eyed Junco"
"Northern Cardinal","House Finch"
"Northern Cardinal","House Finch"
"Northern Cardinal","House Finch"
"Northern Cardinal","House Finch"
"Northern Cardinal","House Finch"
"Northern Cardinal","House Finch"
"Northern Cardinal","House Finch"
"Northern Cardinal","House Finch"
"Northern Cardinal","House Finch"
"House Finch","Northern Cardinal"
"House Finch","Northern Cardinal"
"European Starling","Downy Woodpecker"
"European Starling","Dark-eyed Junco"
"Northern Cardinal","House Finch"
"Northern Cardinal","House Finch"
"Northern Cardinal","House Finch"
"Northern Cardinal","House Finch"
"House Finch","Northern Cardinal"
"Black-capped Chickadee","American Goldfinch"
"Northern Cardinal","House Finch"
"Northern Cardinal","House Finch"
"Northern Cardinal","House Finch"
"Northern Cardinal","House Finch"
"Northern Cardinal","House Finch"
"Northern Cardinal","House Finch"
"Northern Cardinal","White-breasted Nuthatch"
"Red-breasted Nuthatch","Black-capped Chickadee"
"Red-breasted Nuthatch","Black-capped Chickadee"
"White-crowned Sparrow","House Sparrow"
"Downy Woodpecker","Northern Cardinal"
"American Goldfinch","House Finch"
"Downy Woodpecker","Carolina Chickadee"
"House Sparrow","House Finch"
"House Sparrow","House Finch"
"Downy Woodpecker","House Finch"
"Downy Woodpecker","House Finch"
"Downy Woodpecker","House Finch"
"Northern Cardinal","House Sparrow"
"Northern Cardinal","House Sparrow"
"Northern Cardinal","House Sparrow"
"Wild Turkey","American Goldfinch"
"Red-bellied Woodpecker","House Sparrow"
"White-crowned Sparrow","Dark-eyed Junco"
"Golden-crowned Sparrow","White-crowned Sparrow"
"Song Sparrow","House Sparrow"
"House Sparrow","Anna's Hummingbird"
"Spotted Towhee","Dark-eyed Junco"
"Song Sparrow","Purple Finch"
"Purple Finch","Dark-eyed Junco"
"Varied Thrush","Dark-eyed Junco"
"Varied Thrush","Dark-eyed Junco"
"Varied Thrush","Dark-eyed Junco"
"Varied Thrush","Golden-crowned Sparrow"
"Varied Thrush","Golden-crowned Sparrow"
"Varied Thrush","Spotted Towhee"
"Varied Thrush","Spotted Towhee"
"Golden-crowned Sparrow","Song Sparrow"
"Golden-crowned Sparrow","Song Sparrow"
"Song Sparrow","Dark-eyed Junco"
"Song Sparrow","Dark-eyed Junco"
"Song Sparrow","Dark-eyed Junco"
"Song Sparrow","Dark-eyed Junco"
"Song Sparrow","Dark-eyed Junco"
"Song Sparrow","Dark-eyed Junco"
"Song Sparrow","Dark-eyed Junco"
"Golden-crowned Sparrow","Dark-eyed Junco"
"Golden-crowned Sparrow","Dark-eyed Junco"
"Golden-crowned Sparrow","Dark-eyed Junco"
"Golden-crowned Sparrow","Dark-eyed Junco"
"Golden-crowned Sparrow","Dark-eyed Junco"
"Golden-crowned Sparrow","Dark-eyed Junco"
"Golden-crowned Sparrow","Dark-eyed Junco"
"Golden-crowned Sparrow","Dark-eyed Junco"
"Golden-crowned Sparrow","Dark-eyed Junco"
"Golden-crowned Sparrow","Dark-eyed Junco"
"Golden-crowned Sparrow","Dark-eyed Junco"
"Tufted Titmouse","House Finch"
"European Starling","Dark-eyed Junco"
"Tufted Titmouse","Black-capped Chickadee"
"Red-bellied Woodpecker","House Sparrow"
"White-breasted Nuthatch","Tufted Titmouse"
"Red-bellied Woodpecker","White-breasted Nuthatch"
"Red-bellied Woodpecker","Hairy Woodpecker"
"Blue Jay","Dark-eyed Junco"
"Blue Jay","American Goldfinch"
"Blue Jay","Northern Cardinal"
"Northern Cardinal","American Goldfinch"
"White-breasted Nuthatch","Tufted Titmouse"
"House Finch","Purple Finch"
"White-breasted Nuthatch","American Goldfinch"
"Tufted Titmouse","White-breasted Nuthatch"
"Downy Woodpecker","Tufted Titmouse"
"White-breasted Nuthatch","American Goldfinch"
"Tufted Titmouse","American Goldfinch"
"Eastern Bluebird","Tufted Titmouse"
"Tufted Titmouse","American Goldfinch"
"House Sparrow","Red-breasted Nuthatch"
"House Sparrow","House Finch"
"European Starling","American Goldfinch"
"House Finch","American Goldfinch"
"White-breasted Nuthatch","American Goldfinch"
"Common Grackle","Mourning Dove"
"House Finch","Dark-eyed Junco"
"Song Sparrow","Dark-eyed Junco"
"Northern Flicker","European Starling"
"Downy Woodpecker","White-breasted Nuthatch"
"Hairy Woodpecker","White-breasted Nuthatch"
"Pine Grosbeak","Common Redpoll"
"Pine Grosbeak","Dark-eyed Junco"
"Pine Grosbeak","Black-capped Chickadee"
"Hairy Woodpecker","Downy Woodpecker"
"House Finch","Lesser Goldfinch"
"Northern Cardinal","American Goldfinch"
"House Finch","Lesser Goldfinch"
"Tufted Titmouse","American Goldfinch"
"American Goldfinch","Northern Cardinal"
"Red-bellied Woodpecker","American Goldfinch"
"Red-bellied Woodpecker","American Goldfinch"
"Red-bellied Woodpecker","Northern Cardinal"
"Brown-headed Cowbird","White-winged Dove"
"Downy Woodpecker","Tufted Titmouse"
"Mourning Dove","Lesser Goldfinch"
"Band-tailed Pigeon","Mourning Dove"
"Blue Jay","House Sparrow"
"Blue Jay","American Goldfinch"
"Hairy Woodpecker","Blue Jay"
"Northern Cardinal","Carolina Chickadee"
"Tufted Titmouse","House Finch"
"Northern Cardinal","House Sparrow"
"House Sparrow","Dark-eyed Junco"
"European Starling","California Scrub-Jay"
"European Starling","American Goldfinch"
"Pileated Woodpecker","European Starling"
"House Sparrow","Northern Cardinal"
"Red-bellied Woodpecker","Hairy Woodpecker"
"Oak Titmouse","Lesser Goldfinch"
"American Robin","Golden-crowned Sparrow"
"Northern Mockingbird","California Towhee"
"Northern Mockingbird","Golden-crowned Sparrow"
"House Sparrow","House Finch"
"Northern Mockingbird","Pine Warbler"
"Northern Mockingbird","Tufted Titmouse"
"Red-bellied Woodpecker","Hairy Woodpecker"
"Hairy Woodpecker","American Goldfinch"
"Northern Cardinal","House Finch"
"Hairy Woodpecker","Downy Woodpecker"
"House Finch","American Goldfinch"
"American Goldfinch","House Finch"
"Northern Cardinal","Blue Jay"
"Red-bellied Woodpecker","Northern Cardinal"
"Mourning Dove","Northern Cardinal"
"Mourning Dove","Black-capped Chickadee"
"American Goldfinch","Purple Finch"
"European Starling","House Finch"
"Northern Cardinal","House Sparrow"
"House Sparrow","House Finch"
"American Goldfinch","Black-capped Chickadee"
"Blue Jay","Tufted Titmouse"
"Red-bellied Woodpecker","Tufted Titmouse"
"Red-bellied Woodpecker","Carolina Chickadee"
"White-breasted Nuthatch","Tufted Titmouse"
"White-breasted Nuthatch","Tufted Titmouse"
"White-breasted Nuthatch","Tufted Titmouse"
"Red-bellied Woodpecker","Blue Jay"
"Tufted Titmouse","White-breasted Nuthatch"
"Blue Jay","Tufted Titmouse"
"Red-bellied Woodpecker","Tufted Titmouse"
"House Finch","American Goldfinch"
"Northern Cardinal","Carolina Wren"
"Blue Jay","Downy Woodpecker"
"Red-bellied Woodpecker","Carolina Wren"
"Red-bellied Woodpecker","Downy Woodpecker"
"Downy Woodpecker","Carolina Wren"
"House Sparrow","House Finch"
"Dark-eyed Junco","American Goldfinch"
"House Sparrow","American Goldfinch"
"Dark-eyed Junco","House Finch"
"House Finch","Dark-eyed Junco"
"American Goldfinch","Dark-eyed Junco"
"House Finch","American Goldfinch"
"Northern Cardinal","Dark-eyed Junco"
"Dark-eyed Junco","House Finch"
"Yellow-rumped Warbler","Townsend's Warbler"
"Northern Flicker","Hairy Woodpecker"
"Northern Flicker","Varied Thrush"
"House Finch","Carolina Chickadee"
"Red-bellied Woodpecker","Downy Woodpecker"
"Brown Thrasher","Northern Cardinal"
"Hairy Woodpecker","Blue Jay"
"Red-bellied Woodpecker","European Starling"
"Red-bellied Woodpecker","Northern Flicker"
"White-breasted Nuthatch","House Finch"
"Red-breasted Nuthatch","Black-capped Chickadee"
"European Starling","Red-bellied Woodpecker"
"Red-bellied Woodpecker","European Starling"
"Yellow-rumped Warbler","Pine Warbler"
"White-breasted Nuthatch","House Finch"
"Blue Jay","House Finch"
"House Finch","Red-breasted Nuthatch"
"Red-bellied Woodpecker","Ruby-crowned Kinglet"
"Golden-crowned Sparrow","House Sparrow"
"Red-winged Blackbird","Northern Cardinal"
"Red-headed Woodpecker","European Starling"
"European Starling","Downy Woodpecker"
"Carolina Wren","House Finch"
"House Finch","Dark-eyed Junco"
"Northern Cardinal","House Finch"
"American Goldfinch","Dark-eyed Junco"
"House Finch","Dark-eyed Junco"
"Allen's Hummingbird","Anna's Hummingbird"
"Northern Mockingbird","Red-whiskered Bulbul"
"White-crowned Sparrow","Lincoln's Sparrow"
"California Scrub-Jay","House Finch"
"California Scrub-Jay","Mourning Dove"
"California Scrub-Jay","House Finch"
"House Finch","White-crowned Sparrow"
"Northern Mockingbird","Eurasian Collared-Dove"
"Song Sparrow","Dark-eyed Junco"
"Blue Jay","Northern Cardinal"
"Red-bellied Woodpecker","Mourning Dove"
"European Starling","American Goldfinch"
"European Starling","House Sparrow"
"European Starling","House Sparrow"
"European Starling","House Sparrow"
"European Starling","House Sparrow"
"European Starling","House Sparrow"
"European Starling","House Sparrow"
"European Starling","Downy Woodpecker"
"Red-bellied Woodpecker","Dark-eyed Junco"
"Blue Jay","Mourning Dove"
"European Starling","Blue Jay"
"Red-breasted Nuthatch","Black-capped Chickadee"
"European Starling","American Robin"
"Downy Woodpecker","White-breasted Nuthatch"
"White-breasted Nuthatch","Tufted Titmouse"
"Brown-headed Cowbird","White-throated Sparrow"
"Northern Flicker","European Starling"
"European Starling","House Sparrow"
"Hairy Woodpecker","Downy Woodpecker"
"White-breasted Nuthatch","Black-capped Chickadee"
"Northern Cardinal","American Goldfinch"
"House Finch","American Goldfinch"
"Northern Cardinal","House Sparrow"
"American Goldfinch","Tufted Titmouse"
"Pileated Woodpecker","Downy Woodpecker"
"Red-bellied Woodpecker","Downy Woodpecker"
"Tufted Titmouse","American Goldfinch"
"Spotted Towhee","House Finch"
"Downy Woodpecker","Bewick's Wren"
"Downy Woodpecker","Song Sparrow"
"White-throated Sparrow","Dark-eyed Junco"
"Song Sparrow","Golden-crowned Sparrow"
"Hairy Woodpecker","Northern Flicker"
"Northern Cardinal","House Finch"
"Northern Flicker","Blue Jay"
"Northern Flicker","Mourning Dove"
"Northern Flicker","House Sparrow"
"Northern Cardinal","House Finch"
"Blue Jay","American Tree Sparrow"
"Northern Cardinal","Tufted Titmouse"
"Red-bellied Woodpecker","House Sparrow"
"Northern Cardinal","White-throated Sparrow"
"White-breasted Nuthatch","American Goldfinch"
"House Finch","American Goldfinch"
"Cassin's Finch","Dark-eyed Junco"
"American Goldfinch","Pine Siskin"
"House Finch","Dark-eyed Junco"
"Red-bellied Woodpecker","Northern Cardinal"
"Northern Cardinal","House Finch"
"Eastern Bluebird","American Goldfinch"
"Northern Cardinal","House Sparrow"
"Song Sparrow","Dark-eyed Junco"
"Northern Cardinal","White-throated Sparrow"
"Blue Jay","Northern Cardinal"
"Northern Flicker","Downy Woodpecker"
"Blue Jay","Tufted Titmouse"
"American Goldfinch","Purple Finch"
"Downy Woodpecker","Purple Finch"
"Blue Jay","White-throated Sparrow"
"Red-bellied Woodpecker","White-breasted Nuthatch"
"Common Grackle","Dark-eyed Junco"
"Common Grackle","White-throated Sparrow"
"Red-winged Blackbird","American Goldfinch"
"Tufted Titmouse","House Sparrow"
"White-throated Sparrow","American Goldfinch"
"European Starling","House Sparrow"
"European Starling","House Sparrow"
"European Starling","House Sparrow"
"House Sparrow","White-throated Sparrow"
"House Sparrow","Carolina Wren"
"Red-bellied Woodpecker","House Sparrow"
"House Finch","Tufted Titmouse"
"Red-bellied Woodpecker","Blue Jay"
"Carolina Wren","House Finch"
"Carolina Wren","House Finch"
"Red-bellied Woodpecker","Carolina Wren"
"Mourning Dove","House Sparrow"
"Northern Cardinal","House Sparrow"
"Tufted Titmouse","Black-capped Chickadee"
"Hairy Woodpecker","Northern Cardinal"
"Red-bellied Woodpecker","European Starling"
"White-breasted Nuthatch","Black-capped Chickadee"
"Tufted Titmouse","Northern Cardinal"
"Tufted Titmouse","White-throated Sparrow"
"Dark-eyed Junco","White-throated Sparrow"
"Northern Cardinal","Dark-eyed Junco"
"White-throated Sparrow","House Sparrow"
"Red-bellied Woodpecker","Hairy Woodpecker"
"Dark-eyed Junco","Black-capped Chickadee"
"Dark-eyed Junco","Bushtit"
"Dark-eyed Junco","Bushtit"
"Spotted Towhee","Dark-eyed Junco"
"House Finch","Dark-eyed Junco"
"Blue Jay","Dark-eyed Junco"
"Red-bellied Woodpecker","Blue Jay"
"Northern Mockingbird","Blue Jay"
"Eurasian Collared-Dove","Mourning Dove"
"Northern Mockingbird","European Starling"
"Northern Cardinal","House Sparrow"
"Red-bellied Woodpecker","Downy Woodpecker"
"Red-bellied Woodpecker","House Sparrow"
"Hairy Woodpecker","Blue Jay"
"Blue Jay","Eastern Bluebird"
"Blue Jay","Tufted Titmouse"
"Common Grackle","American Robin"
"Red-bellied Woodpecker","Red-breasted Nuthatch"
"Downy Woodpecker","Baltimore Oriole"
"Red-bellied Woodpecker","Baltimore Oriole"
"Baltimore Oriole","Eastern Bluebird"
"House Finch","American Goldfinch"
"Blue Jay","House Sparrow"
"White-throated Sparrow","Dark-eyed Junco"
"Northern Mockingbird","European Starling"
"Mourning Dove","House Finch"
"European Starling","Downy Woodpecker"
"Downy Woodpecker","Carolina Wren"
"Northern Mockingbird","Tufted Titmouse"
"Hairy Woodpecker","Downy Woodpecker"
"Northern Cardinal","American Goldfinch"
"Red-bellied Woodpecker","Mourning Dove"
"Northern Cardinal","White-throated Sparrow"
"Song Sparrow","White-throated Sparrow"
"Hairy Woodpecker","Bewick's Wren"
"Song Sparrow","Purple Finch"
"Hairy Woodpecker","Steller's Jay"
"Northern Flicker","Steller's Jay"
"Northern Cardinal","House Finch"
"European Starling","Dark-eyed Junco"
"House Sparrow","American Goldfinch"
"Song Sparrow","Dark-eyed Junco"
"Dark-eyed Junco","Black-capped Chickadee"
"Spotted Towhee","Golden-crowned Sparrow"
"Spotted Towhee","Dark-eyed Junco"
"Downy Woodpecker","Dark-eyed Junco"
"Downy Woodpecker","Dark-eyed Junco"
"Hairy Woodpecker","House Finch"
"Blue Jay","Red-breasted Nuthatch"
"Downy Woodpecker","House Finch"
"Downy Woodpecker","House Finch"
"Dark-eyed Junco","House Finch"
"Hairy Woodpecker","Downy Woodpecker"
"Hairy Woodpecker","Downy Woodpecker"
"Downy Woodpecker","Dark-eyed Junco"
"Northern Flicker","Downy Woodpecker"
"Downy Woodpecker","House Finch"
"Hairy Woodpecker","Downy Woodpecker"
"Downy Woodpecker","Dark-eyed Junco"
"Hairy Woodpecker","Downy Woodpecker"
"Song Sparrow","Dark-eyed Junco"
"Blue Jay","European Starling"
"Mourning Dove","Blue Jay"
"Northern Mockingbird","Carolina Chickadee"
"Northern Mockingbird","Northern Cardinal"
"Tufted Titmouse","Carolina Chickadee"
"Dark-eyed Junco","American Tree Sparrow"
"Northern Cardinal","Tufted Titmouse"
"Eurasian Collared-Dove","Northern Cardinal"
"Northern Cardinal","White-throated Sparrow"
"Red-bellied Woodpecker","Northern Mockingbird"
"Blue Jay","Dark-eyed Junco"
"House Finch","Dark-eyed Junco"
"Orange-crowned Warbler","Ruby-crowned Kinglet"
"Dark-eyed Junco","House Finch"
"Northern Cardinal","House Finch"
"Northern Cardinal","American Goldfinch"
"Downy Woodpecker","American Goldfinch"
"Downy Woodpecker","Northern Cardinal"
"Varied Thrush","Dark-eyed Junco"
"California Quail","Dark-eyed Junco"
"Song Sparrow","Dark-eyed Junco"
"Dark-eyed Junco","American Goldfinch"
"Tufted Titmouse","American Tree Sparrow"
"Dark-eyed Junco","American Tree Sparrow"
"White-crowned Sparrow","Dark-eyed Junco"
"White-crowned Sparrow","Tufted Titmouse"
"White-breasted Nuthatch","Dark-eyed Junco"
"Mourning Dove","Northern Cardinal"
"Northern Cardinal","House Sparrow"
"Red-bellied Woodpecker","Brown Creeper"
"Hairy Woodpecker","Downy Woodpecker"
"Mourning Dove","Blue Jay"
"Downy Woodpecker","House Sparrow"
"Yellow-bellied Sapsucker","Downy Woodpecker"
"White-breasted Nuthatch","Tufted Titmouse"
"Hairy Woodpecker","Downy Woodpecker"
"Tufted Titmouse","American Goldfinch"
"Red-bellied Woodpecker","Pine Warbler"
"Red-bellied Woodpecker","Pine Warbler"
"Northern Cardinal","White-throated Sparrow"
"Hairy Woodpecker","Downy Woodpecker"
"Tufted Titmouse","American Goldfinch"
"Eastern Towhee","White-throated Sparrow"
"Eastern Towhee","White-throated Sparrow"
"Tufted Titmouse","Chipping Sparrow"
"White-throated Sparrow","Dark-eyed Junco"
"Tufted Titmouse","Pine Warbler"
"Red-bellied Woodpecker","Tufted Titmouse"
"Red-bellied Woodpecker","Brown-headed Nuthatch"
"House Finch","Yellow-rumped Warbler"
"Eastern Bluebird","Chipping Sparrow"
"Tufted Titmouse","Chipping Sparrow"
"Hermit Thrush","House Finch"
"Tufted Titmouse","American Goldfinch"
"Red-bellied Woodpecker","Blue Jay"
"Red-bellied Woodpecker","Hairy Woodpecker"
"Pileated Woodpecker","Red-bellied Woodpecker"
"Hairy Woodpecker","Downy Woodpecker"
"Dark-eyed Junco","Black-capped Chickadee"
"House Finch","American Goldfinch"
"White-breasted Nuthatch","Brown-headed Nuthatch"
"Tufted Titmouse","American Goldfinch"
"American Goldfinch","Tufted Titmouse"
"Fox Sparrow","White-throated Sparrow"
"Fox Sparrow","White-throated Sparrow"
"White-breasted Nuthatch","American Tree Sparrow"
"Pileated Woodpecker","Hairy Woodpecker"
"Spotted Towhee","Dark-eyed Junco"
"House Sparrow","House Finch"
"Pileated Woodpecker","Red-bellied Woodpecker"
"Red-bellied Woodpecker","House Sparrow"
"Red-bellied Woodpecker","Northern Cardinal"
"Red-bellied Woodpecker","House Sparrow"
"Blue Jay","Northern Cardinal"
"Downy Woodpecker","House Finch"
"Northern Cardinal","House Finch"
"Eurasian Collared-Dove","Blue Jay"
"American Goldfinch","Dark-eyed Junco"
"Dark-eyed Junco","Ruby-crowned Kinglet"
"Red-winged Blackbird","Dark-eyed Junco"
"Red-winged Blackbird","Northern Cardinal"
"Downy Woodpecker","Yellow-rumped Warbler"
"Northern Cardinal","White-throated Sparrow"
"Tufted Titmouse","House Finch"
"Blue Jay","White-throated Sparrow"
"Tufted Titmouse","Carolina Chickadee"
"House Sparrow","American Goldfinch"
"Blue Jay","Hairy Woodpecker"
"Blue Jay","European Starling"
"Red-bellied Woodpecker","European Starling"
"White-breasted Nuthatch","Red-breasted Nuthatch"
"Northern Cardinal","American Goldfinch"
"Blue Jay","Northern Cardinal"
"Blue Jay","House Finch"
"American Tree Sparrow","Tufted Titmouse"
"Blue Jay","Mourning Dove"
"Nuttall's Woodpecker","Downy Woodpecker"
"European Starling","American Goldfinch"
"European Starling","Downy Woodpecker"
"European Starling","White-breasted Nuthatch"
"White-breasted Nuthatch","American Goldfinch"
"Dark-eyed Junco","House Finch"
"Pileated Woodpecker","Northern Flicker"
"Northern Cardinal","House Finch"
"Red-bellied Woodpecker","Blue Jay"
"European Starling","Blue Jay"
"House Sparrow","Dark-eyed Junco"
"Song Sparrow","Dark-eyed Junco"
"Golden-crowned Sparrow","Dark-eyed Junco"
"Golden-crowned Sparrow","Dark-eyed Junco"
"Northern Cardinal","House Finch"
"Northern Cardinal","House Finch"
"Red-bellied Woodpecker","Blue Jay"
"Red-bellied Woodpecker","Blue Jay"
"House Sparrow","Northern Cardinal"
"Northern Flicker","Steller's Jay"
"Downy Woodpecker","Black-capped Chickadee"
"House Sparrow","Black-capped Chickadee"
"House Sparrow","Red-breasted Nuthatch"
"European Starling","Bushtit"
"Northern Flicker","Bushtit"
"European Starling","Northern Flicker"
"European Starling","Downy Woodpecker"
"European Starling","Chestnut-backed Chickadee"
"Black-capped Chickadee","Bewick's Wren"
"Red-bellied Woodpecker","European Starling"
"Red-bellied Woodpecker","Downy Woodpecker"
"European Starling","American Goldfinch"
"Yellow-rumped Warbler","Chipping Sparrow"
"Yellow-rumped Warbler","Orange-crowned Warbler"
"Northern Mockingbird","Long-billed Thrasher"
"Audubon's Oriole","Green Jay"
"Blue Jay","Black-capped Chickadee"
"Red-bellied Woodpecker","Downy Woodpecker"
"White-breasted Nuthatch","American Goldfinch"
"Spotted Towhee","Dark-eyed Junco"
"Song Sparrow","Dark-eyed Junco"
"House Sparrow","Lesser Goldfinch"
"Bushtit","Anna's Hummingbird"
"Red-winged Blackbird","Chipping Sparrow"
"Tufted Titmouse","American Goldfinch"
"Hairy Woodpecker","Downy Woodpecker"
"Hairy Woodpecker","Downy Woodpecker"
"Downy Woodpecker","Hairy Woodpecker"
"Downy Woodpecker","House Sparrow"
"Downy Woodpecker","Carolina Wren"
"Red-bellied Woodpecker","Hairy Woodpecker"
"Hairy Woodpecker","White-breasted Nuthatch"
"Hairy Woodpecker","Downy Woodpecker"
"Red-bellied Woodpecker","Hairy Woodpecker"
"Downy Woodpecker","White-breasted Nuthatch"
"Northern Cardinal","American Goldfinch"
"House Finch","American Goldfinch"
"Red-bellied Woodpecker","Northern Cardinal"
"Northern Cardinal","House Finch"
"House Finch","American Goldfinch"
"Red-bellied Woodpecker","American Goldfinch"
"House Finch","European Starling"
"European Starling","House Sparrow"
"European Starling","Northern Cardinal"
"European Starling","Blue Jay"
"Northern Cardinal","Dark-eyed Junco"
"House Finch","Pine Siskin"
"Hairy Woodpecker","Blue Jay"
"Black-capped Chickadee","American Goldfinch"
"Red-bellied Woodpecker","Downy Woodpecker"
"White-breasted Nuthatch","Black-capped Chickadee"
"Downy Woodpecker","Black-capped Chickadee"
"Downy Woodpecker","White-breasted Nuthatch"
"American Tree Sparrow","Black-capped Chickadee"
"Northern Cardinal","American Tree Sparrow"
"Blue Jay","Northern Cardinal"
"House Sparrow","Dark-eyed Junco"
"House Sparrow","Tufted Titmouse"
"Northern Cardinal","American Goldfinch"
"White-breasted Nuthatch","House Finch"
"White-crowned Sparrow","House Finch"
"Hairy Woodpecker","Downy Woodpecker"
"Chestnut-backed Chickadee","Red-breasted Nuthatch"
"Fox Sparrow","Golden-crowned Sparrow"
"Red-breasted Nuthatch","Chestnut-backed Chickadee"
"Hairy Woodpecker","Downy Woodpecker"
"Hairy Woodpecker","Downy Woodpecker"
"Song Sparrow","Dark-eyed Junco"
"Northern Cardinal","American Goldfinch"
"European Starling","Hairy Woodpecker"
"European Starling","Red-breasted Nuthatch"
"European Starling","American Goldfinch"
"European Starling","Northern Mockingbird"
"Red-winged Blackbird","Dark-eyed Junco"
"European Starling","Red-winged Blackbird"
"Northern Flicker","European Starling"
"Red-bellied Woodpecker","Downy Woodpecker"
"Red-breasted Nuthatch","Black-capped Chickadee"
"Great-tailed Grackle","Curve-billed Thrasher"
"House Sparrow","American Goldfinch"
"Harris's Sparrow","Northern Cardinal"
"Red-bellied Woodpecker","Mourning Dove"
"Red-bellied Woodpecker","Tufted Titmouse"
"White-breasted Nuthatch","Tufted Titmouse"
"Blue Jay","Northern Cardinal"
"Tufted Titmouse","Carolina Chickadee"
"White-breasted Nuthatch","Carolina Chickadee"
"Wild Turkey","Black-billed Magpie"
"Dark-eyed Junco","Mountain Chickadee"
"Black-billed Magpie","Steller's Jay"
"American Goldfinch","Eurasian Tree Sparrow"
"Red-bellied Woodpecker","Downy Woodpecker"
"American Robin","European Starling"
"Blue Jay","House Finch"
"House Sparrow","Black-capped Chickadee"
"House Finch","American Goldfinch"
"Spotted Towhee","Fox Sparrow"
"Spotted Towhee","Dark-eyed Junco"
"Hairy Woodpecker","Downy Woodpecker"
"Northern Mockingbird","House Finch"
"Northern Cardinal","House Finch"
"House Finch","American Goldfinch"
"Northern Mockingbird","Mourning Dove"
"Northern Mockingbird","Mourning Dove"
"Northern Mockingbird","Mourning Dove"
"Red-bellied Woodpecker","Downy Woodpecker"
"Northern Cardinal","Carolina Wren"
"European Starling","Red-bellied Woodpecker"
"Blue Jay","Northern Cardinal"
"Blue Jay","Northern Cardinal"
"Red-bellied Woodpecker","European Starling"
"House Finch","Northern Cardinal"
"Spotted Towhee","Steller's Jay"
"Blue Jay","House Finch"
"Red-bellied Woodpecker","House Finch"
"Pileated Woodpecker","Red-bellied Woodpecker"
"Pileated Woodpecker","Hairy Woodpecker"
"House Finch","Dark-eyed Junco"
"Hairy Woodpecker","American Tree Sparrow"
"Northern Mockingbird","Northern Cardinal"
"White-breasted Nuthatch","American Goldfinch"
"Yellow-rumped Warbler","Ruby-throated Hummingbird"
"White-breasted Nuthatch","Tufted Titmouse"
"Northern Cardinal","Tufted Titmouse"
"Pileated Woodpecker","Hairy Woodpecker"
"Pileated Woodpecker","Northern Flicker"
"Blue Jay","House Sparrow"
"Northern Cardinal","House Sparrow"
"Hairy Woodpecker","Downy Woodpecker"
"Blue Jay","Mourning Dove"
"Red-bellied Woodpecker","Blue Jay"
"White-breasted Nuthatch","Red-breasted Nuthatch"
"House Sparrow","House Finch"
"Red-bellied Woodpecker","Hairy Woodpecker"
"Downy Woodpecker","Carolina Chickadee"
"Downy Woodpecker","Bushtit"
"Northern Flicker","Downy Woodpecker"
"European Starling","Northern Flicker"
"Northern Flicker","Bushtit"
"Downy Woodpecker","Bewick's Wren"
"Red-breasted Nuthatch","Black-capped Chickadee"
"White-breasted Nuthatch","Tufted Titmouse"
"Tufted Titmouse","Black-capped Chickadee"
"Tufted Titmouse","White-breasted Nuthatch"
"American Goldfinch","Dark-eyed Junco"
"Dark-eyed Junco","Black-capped Chickadee"
"Dark-eyed Junco","Black-capped Chickadee"
"Dark-eyed Junco","House Finch"
"Dark-eyed Junco","House Finch"
"Dark-eyed Junco","House Finch"
"Song Sparrow","Dark-eyed Junco"
"European Starling","Northern Flicker"
"Northern Cardinal","Tufted Titmouse"
"European Starling","Downy Woodpecker"
"Hairy Woodpecker","Downy Woodpecker"
